Land,Deutschlernende gesamt 2020 ,Gesamtzahl Schüler*innen im Gastland 2020,Schulen mit Fremdsprachenunterricht 2020 ,Schulen mit DaF 2020 ,Deutschlehrkräfte 2020 ,DaF-Lernende Schulbereich 2020 ,Zuwachs/ Rückgang der DaF-Lernenden im Schulbereich im Vergleich 2015 zu 2020,Hochschulen mit Deutsch allgemein 2020 ,Deutsch lernende Studierende 2020 ,Zuwachs/ Rückgang der Deutsch lernenden Studierenden im Vergleich 2015 zu 2020,Außerschulische/ außeruniversitäre DaF-Einrichtungen 2020 ,DaF-Lernende an außerschulischen/ außeruniversitären Einrichtungen 2020 ,DaF-Lernende an Goethe-Instituten 2020 ,Perspektive Schulbereich [Trend von 2015 zu 2020] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongkong,10158,881896,2179,9,24,1326,362,6,1789,189,8,1600,5443,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indien,211038,285000000,9650,770,831,149000,42000,106,30000,27700,140,11500,20538,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesien,164422,45428511,216566,1200,1500,150000,-2500,15,3393,44,66,3538,7491,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irak,1669,8130440,29352,5,7,1025,-540,2,349,-176,n.b,n.b,295,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,37428,14007736,100000,8,24,330,30,8,398,-5602,15,29000,7700,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irland,73603,960039,720,427,1350,71499,16535,8,1851,-2349,23,23,230,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island,4076,69610,211,32,k.A.,3979,-568,2,52,-35,3,45,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2735,1531144,"4,592",6,5,300,0,6,573,-114,6,600,1262,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italien,457883,7682635,57831,3200,3800,429193,30710,52,20410,-9590,k.A.,k.A.,8280,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaika,54,454216,200,2,3,27,,2,k.A.,,2,27,0,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
